player_id,nome,squadra,stagione,pg,mv,fantamedia,gol,gol_subiti,rig_segnati,rig_tirati,rig_parati,assist,ammonizioni,espulsioni
6869,Ramon,COM,2025-26,32,6.16,6.14,2,0,0,0,0,0,11,1
6643,Dallinga,BOL,2025-26,19,5.82,6.13,2,0,0,0,0,1,2,0
608,Zapata D.,TOR,2025-26,23,5.83,6.13,3,0,0,1,0,1,0,0
697,Cuadrado,PIS,2025-26,15,6.03,6.13,1,0,1,1,0,0,3,0
6054,Moro N.,BOL,2025-26,28,5.93,6.12,2,0,0,0,0,0,1,0
5835,Baschirotto,CRE,2025-26,29,5.95,6.12,2,0,0,0,0,0,2,0
7252,Stulic,LEC,2025-26,30,5.73,6.12,4,0,1,1,0,0,1,0
4734,Miranda J.,BOL,2025-26,31,6.0,6.10,1,0,0,0,0,3,6,0
2593,Martin,GEN,2025-26,29,5.97,6.10,1,0,0,1,0,5,2,0
4287,Lobotka,NAP,2025-26,31,6.05,6.10,1,0,0,0,0,0,3,0
6271,El Aynaoui,ROM,2025-26,21,5.98,6.10,1,0,0,0,0,2,5,0
4665,Maripan,TOR,2025-26,26,5.94,6.10,2,0,0,0,0,0,4,0
4137,Diego Carlos,COM,2025-26,25,6.14,6.1,1,0,0,0,0,0,8,0
5578,Kossounou,ATA,2025-26,16,5.94,6.09,1,0,0,0,0,0,1,0
7125,Idrissi R.,CAG,2025-26,17,5.82,6.09,2,0,0,0,0,0,3,0
6814,Norton-Cuffy,GEN,2025-26,27,5.93,6.09,2,0,0,0,0,1,3,1
7001,N'Dri,LEC,2025-26,17,5.82,6.09,2,0,0,0,0,0,3,0
5295,Musah,ATA,2025-26,16,5.94,6.09,1,0,0,0,0,0,1,0
5862,Valeri,PAR,2025-26,34,6.06,6.09,0,0,0,0,0,2,2,0
6294,Ndour,FIO,2025-26,30,5.8,6.07,3,0,0,0,0,0,2,0
6766,Kelly L.,JUV,2025-26,35,6.01,6.07,1,0,0,0,0,1,4,0
6630,Mosquera,VER,2025-26,14,5.96,6.07,0,0,0,0,0,2,1,0
322,De Vrij,INT,2025-26,8,6.12,6.06,0,0,0,0,0,0,1,0
5301,Luis Henrique,INT,2025-26,27,5.89,6.06,1,0,0,0,0,2,1,0
4686,Fofana Y.,MIL,2025-26,33,5.85,6.06,2,0,0,0,0,3,4,0
6898,Keita M.,PAR,2025-26,36,6.01,6.06,1,0,0,0,0,1,1,0
6207,Almqvist,PAR,2025-26,9,5.94,6.06,0,0,0,0,0,1,0,0
6206,Fabbian,FIO,2025-26,22,5.80,6.05,2,0,0,0,0,0,2,0
7130,Folino,CRE,2025-26,11,5.77,6.05,1,0,0,0,0,0,0,0
6496,Bartesaghi,MIL,2025-26,31,5.97,6.05,2,0,0,0,0,0,3,0
788,Freuler,BOL,2025-26,28,6.02,6.04,1,0,0,0,0,2,5,0
6895,Dominguez B.,BOL,2025-26,12,5.83,6.04,0,0,0,0,0,3,1,0
5885,Dodò,FIO,2025-26,36,5.99,6.03,1,0,0,0,0,2,7,0
4349,Nicolussi Caviglia,PAR,2025-26,23,5.89,6.02,0,0,0,0,0,4,4,0
6989,Tiago Gabriel,LEC,2025-26,36,6.0,6.01,2,0,0,0,0,0,7,0
6664,Delprato,PAR,2025-26,35,5.91,6.01,2,0,0,0,0,0,5,0
22,De Roon,ATA,2025-26,34,5.97,6.0,1,0,0,0,0,2,6,1
2525,Darmian,INT,2025-26,5,6.0,6.0,0,0,0,0,0,0,0,0
7175,Joao Mario,BOL,2025-26,14,5.79,6.0,1,0,0,0,0,1,2,0
2012,Milik,JUV,2025-26,2,6.0,6.0,0,0,0,0,0,0,0,0
6633,Pierret,LEC,2025-26,1,6.0,6.0,0,0,0,0,0,0,0,0
2815,Terracciano,MIL,2025-26,2,6.0,6.0,0,0,0,0,0,0,0,0
6215,Lucca,NAP,2025-26,9,5.72,6.0,1,0,0,0,0,0,1,0
5471,Djuric,CRE,2025-26,9,6.0,6.0,0,0,0,0,0,1,2,0
5318,Tramoni M.,PIS,2025-26,25,5.72,6.0,2,0,1,1,0,2,3,0
6145,Ngonge,TOR,2025-26,17,5.82,6.0,1,0,0,0,0,1,2,0
7028,Bernede,VER,2025-26,31,5.87,6.0,1,0,0,0,0,2,2,0
2117,Kastanos,VER,2025-26,1,6.0,6.0,0,0,0,0,0,0,0,0
6005,Ilkhan,TOR,2025-26,17,5.82,6.0,1,0,0,0,0,2,2,1
2762,Kouamè,FIO,2025-26,1,6.0,6.0,0,0,0,0,0,0,0,0
7238,Kouadio,FIO,2025-26,1,6.0,6.0,0,0,0,0,0,0,0,0
7246,Sala A.,LEC,2025-26,4,5.75,6.0,0,0,0,0,0,1,0,0
6351,Lamptey,FIO,2025-26,1,6.0,6.0,0,0,0,0,0,0,0,0
